ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,timestamp
-0.41,0.52,-2.00,-26.63,-250.14,1.68,-0.16,0.89,0.33,-15.93,7.44,-9.78,1764277163.2585003
-0.40,0.07,-2.00,-13.69,-250.14,-6.25,-0.19,0.89,0.44,-10.71,8.27,-12.34,1764277163.2797961
-0.29,0.26,-1.72,-0.54,-158.46,2.95,-0.19,0.92,0.45,1.46,3.14,-9.28,1764277163.2970352
-0.35,0.12,-1.58,3.30,8.40,0.79,-0.22,0.91,0.45,9.56,0.37,-2.60,1764277163.3124309
-0.29,0.15,-1.23,5.38,74.35,-2.34,-0.22,0.91,0.45,11.38,-1.02,2.31,1764277163.3326297
-0.29,0.16,-1.34,7.36,139.44,1.44,-0.21,0.90,0.44,13.75,-4.76,5.50,1764277163.3497853
-0.30,0.14,-1.53,10.02,250.13,-2.26,-0.21,0.90,0.42,14.27,-3.18,6.61,1764277163.3667877
-0.27,0.21,-1.19,14.10,250.13,-4.00,-0.20,0.90,0.41,13.91,1.11,4.44,1764277163.3845708
-0.14,0.22,-0.75,7.94,250.13,0.21,-0.18,0.89,0.42,11.08,3.95,2.44,1764277163.4019468
-0.00,0.21,-0.62,0.94,235.98,3.62,-0.17,0.90,0.40,8.39,3.11,1.13,1764277163.4201581
0.10,0.19,-0.87,-5.47,201.60,6.46,-0.17,0.90,0.40,4.99,0.11,0.11,1764277163.4379373
0.14,0.15,-0.86,-6.52,161.66,1.92,-0.17,0.90,0.43,2.28,-0.65,-0.13,1764277163.456223
0.17,0.25,-0.93,-7.87,146.95,8.61,-0.17,0.91,0.44,4.63,-1.54,-2.66,1764277163.4749415
0.24,0.19,-0.90,-7.02,141.69,12.85,-0.18,0.92,0.43,6.34,1.18,-3.52,1764277163.4917889
0.25,0.19,-0.71,-4.74,99.63,8.58,-0.19,0.91,0.44,7.99,0.24,-2.96,1764277163.511158
0.31,0.15,-0.75,-1.32,54.15,9.15,-0.19,0.91,0.43,5.79,2.06,-3.25,1764277163.5305738
0.34,0.17,-0.82,-0.16,30.06,6.18,-0.19,0.90,0.42,5.53,-0.73,-1.95,1764277163.5483303
0.34,0.17,-0.87,-1.21,19.03,6.87,-0.21,0.90,0.41,6.23,-0.68,-1.82,1764277163.564212
0.36,0.15,-0.92,1.08,13.79,7.31,-0.21,0.89,0.40,6.70,0.66,-1.11,1764277163.58231
0.37,0.13,-0.93,0.56,17.05,4.31,-0.21,0.89,0.39,5.24,1.89,-1.37,1764277163.600178
0.42,0.09,-0.85,-1.70,11.73,0.56,-0.20,0.89,0.40,2.95,2.94,-0.84,1764277163.618902
0.38,0.17,-0.82,-0.59,-0.02,2.02,-0.19,0.90,0.41,2.18,3.50,-0.28,1764277163.6401436
0.35,0.17,0.13,6.25,-112.37,-0.63,-0.19,0.91,0.43,0.92,4.66,1.05,1764277163.6541865
-0.34,0.13,2.00,64.39,-250.14,5.83,-0.16,0.90,0.43,-5.57,5.03,-4.24,1764277163.672718
-0.61,0.14,-2.00,-20.85,-250.14,25.44,-0.18,0.87,0.40,-14.53,2.73,-9.22,1764277163.6907327
-0.37,0.06,-2.00,-26.72,-250.14,-31.46,-0.22,0.90,0.47,-13.90,9.49,-10.31,1764277163.7149365
-0.23,0.26,-1.53,-12.50,-231.82,0.22,-0.18,0.94,0.43,-1.66,8.88,-8.08,1764277163.7270315
-0.32,0.25,-1.45,-5.08,-117.43,0.10,-0.21,0.90,0.46,4.23,4.38,-5.46,1764277163.7459922
-0.29,0.11,-1.45,0.55,-24.50,3.08,-0.21,0.92,0.45,6.85,0.95,0.53,1764277163.7621968
-0.36,0.15,-1.28,-1.50,54.96,3.40,-0.23,0.91,0.46,10.65,-3.15,3.11,1764277163.7813706
-0.27,0.16,-1.06,0.25,88.01,-2.11,-0.23,0.89,0.41,10.57,-1.85,2.55,1764277163.79845
-0.24,0.15,-1.35,7.33,148.57,-0.51,-0.22,0.89,0.39,12.27,1.40,3.03,1764277163.816885
-0.23,0.13,-1.38,11.06,244.00,-5.77,-0.21,0.89,0.41,12.89,0.79,3.98,1764277163.8344312
-0.19,0.16,-1.09,4.98,250.13,-4.03,-0.21,0.89,0.40,10.60,0.52,5.21,1764277163.8541536
-0.09,0.18,-0.81,2.29,250.13,-0.20,-0.19,0.89,0.42,8.11,-0.63,4.36,1764277163.8712347
0.03,0.24,-0.96,-3.66,249.13,6.29,-0.18,0.91,0.40,7.98,-1.24,3.71,1764277163.8892713
0.03,0.14,-0.69,-6.77,190.32,5.31,-0.19,0.90,0.42,5.16,0.95,1.49,1764277163.906893
0.13,0.19,-0.69,-4.76,121.71,1.34,-0.19,0.91,0.42,3.94,1.92,-0.75,1764277163.9243102
0.19,0.20,-0.97,-3.04,100.53,5.45,-0.18,0.91,0.43,4.02,1.69,-1.08,1764277163.9461293
0.20,0.19,-0.94,-3.79,87.80,3.85,-0.19,0.91,0.44,4.54,2.76,-2.11,1764277163.9601421
0.25,0.21,-0.96,-1.72,79.01,8.32,-0.19,0.91,0.43,5.79,0.90,-2.35,1764277163.9794323
0.29,0.16,-0.97,-2.74,72.38,7.11,-0.21,0.91,0.41,4.98,0.75,-1.34,1764277163.9972575
0.30,0.14,-0.85,-3.37,56.16,8.00,-0.20,0.90,0.41,4.19,0.14,-1.69,1764277164.0149326
0.33,0.17,-0.87,0.54,42.02,8.06,-0.20,0.90,0.40,4.54,0.81,-1.24,1764277164.0331273
0.32,0.13,-0.86,0.82,28.73,6.05,-0.21,0.90,0.41,4.18,2.31,-1.53,1764277164.0500634
0.31,0.16,-0.77,-0.85,8.07,2.16,-0.19,0.89,0.43,4.38,2.83,-0.35,1764277164.0678108
0.26,0.20,0.49,8.81,-151.27,6.31,-0.20,0.91,0.41,4.14,4.01,0.92,1764277164.0861597
-0.22,0.11,1.08,29.35,-250.14,13.06,-0.18,0.90,0.40,-1.97,3.97,-3.40,1764277164.104978
-0.72,0.05,-1.36,-5.47,-250.14,4.74,-0.19,0.87,0.40,-18.34,7.08,-10.51,1764277164.1222603
-0.56,0.17,-2.00,-21.89,-250.14,-8.84,-0.23,0.90,0.41,-14.50,14.34,-12.85,1764277164.1398075
-0.32,0.25,-1.37,-11.93,-250.14,-4.68,-0.21,0.93,0.41,-0.48,11.91,-13.26,1764277164.1636026
-0.34,0.12,-1.77,2.16,-104.48,0.70,-0.21,0.91,0.43,4.95,6.37,-7.29,1764277164.1765454
-0.42,0.11,-1.33,2.15,31.28,0.72,-0.23,0.91,0.45,8.82,-1.56,0.33,1764277164.1960313
-0.36,0.14,-1.13,2.50,79.93,3.13,-0.23,0.91,0.43,14.25,-7.06,6.27,1764277164.2156875
-0.31,0.12,-1.34,1.63,142.25,0.11,-0.22,0.90,0.41,11.89,-4.93,7.28,1764277164.2308576
-0.34,0.13,-1.52,5.68,250.13,-5.70,-0.20,0.90,0.43,16.92,-4.79,7.44,1764277164.2509336
-0.28,0.19,-1.18,6.09,250.13,-2.74,-0.19,0.90,0.40,15.50,-1.23,6.37,1764277164.2665205
-0.19,0.18,-0.76,5.74,250.13,-1.39,-0.20,0.90,0.41,11.34,0.69,3.92,1764277164.2841275
-0.05,0.20,-0.64,-1.02,249.85,3.52,-0.18,0.90,0.40,8.15,-1.06,2.85,1764277164.302469
0.08,0.19,-0.85,-4.77,199.04,7.63,-0.18,0.90,0.39,6.52,-3.31,1.14,1764277164.320341
0.10,0.10,-0.80,-8.95,154.90,3.99,-0.19,0.90,0.39,3.60,-0.50,-0.32,1764277164.3388457
0.21,0.20,-1.07,-6.07,142.69,6.12,-0.19,0.90,0.41,2.89,-1.72,-1.59,1764277164.3565736
0.15,0.15,-0.87,-9.85,130.95,5.29,-0.21,0.91,0.43,3.37,-1.37,-2.21,1764277164.374534
0.19,0.17,-0.70,-6.85,91.73,9.75,-0.21,0.91,0.41,3.32,-0.11,-1.03,1764277164.398304
0.27,0.14,-0.90,-4.31,66.53,6.20,-0.21,0.91,0.42,4.27,-0.48,-0.75,1764277164.413877
0.29,0.14,-1.01,-5.86,73.02,7.98,-0.19,0.90,0.40,4.30,2.27,-1.02,1764277164.4322658
0.30,0.14,-0.85,-4.05,57.20,7.27,-0.22,0.90,0.41,5.58,0.98,-1.18,1764277164.4479656
0.34,0.11,-0.81,-2.28,36.95,3.48,-0.21,0.90,0.40,4.95,1.76,-0.36,1764277164.4641562
0.37,0.17,-0.90,-1.06,27.32,5.26,-0.20,0.90,0.39,3.15,1.13,0.47,1764277164.4819243
0.37,0.14,-0.79,-2.11,15.95,6.24,-0.19,0.91,0.40,3.48,0.80,0.81,1764277164.4995441
0.38,0.17,-0.14,3.54,-67.69,3.99,-0.16,0.89,0.43,2.01,2.24,1.22,1764277164.5178638
0.06,0.17,1.31,46.22,-250.14,11.91,-0.20,0.90,0.42,-0.94,2.35,-0.97,1764277164.5357673
-0.44,0.31,-1.47,36.73,-250.14,32.26,-0.15,0.88,0.37,-10.50,-2.75,-9.00,1764277164.5561914
-0.59,-0.23,-1.70,-20.11,-250.14,-15.47,-0.22,0.88,0.42,-17.36,9.69,-13.93,1764277164.571939
-0.34,0.38,-1.99,-13.89,-250.14,-2.18,-0.21,0.91,0.41,-9.34,10.65,-12.44,1764277164.590559
-0.31,0.07,-1.74,-11.72,-160.36,-4.49,-0.22,0.91,0.45,0.02,6.79,-6.66,1764277164.6083345
-0.36,0.15,-1.67,-6.24,3.42,1.26,-0.24,0.92,0.46,7.07,1.44,-0.02,1764277164.6289327
-0.34,0.13,-1.24,-7.82,80.85,2.21,-0.25,0.92,0.44,13.01,-4.80,5.62,1764277164.6462238
-0.28,0.09,-1.19,-6.57,118.90,3.12,-0.25,0.90,0.43,12.00,-5.02,8.03,1764277164.663444
-0.26,0.10,-1.38,-5.30,202.31,-2.29,-0.23,0.90,0.42,13.08,-2.76,8.56,1764277164.6801279
-0.22,0.18,-1.11,-0.71,250.13,-6.47,-0.22,0.90,0.42,12.21,-0.15,6.79,1764277164.6984918
-0.12,0.20,-0.95,4.81,250.13,-2.73,-0.20,0.90,0.40,10.78,1.48,3.58,1764277164.7164092
-0.04,0.19,-0.70,3.27,219.40,0.91,-0.18,0.89,0.39,6.90,1.76,1.66,1764277164.7349105
0.04,0.20,-0.75,0.98,162.14,1.45,-0.18,0.89,0.40,4.50,0.40,0.96,1764277164.7519915
